title,company,salary,location,link,platform
Senior Software Engineer - Full Stack,Veeva Systems,190000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=31082f46b3820b58&bb=ZhQzrWy1p3vU0b3WX5wTBot8CQGhpIkGtj6T_IcxmY07BonGEVT-1dYvJSbaSHEGU3pNsy5SPBR7uMjRWQF-vs_gKpxkfvKjcGDQw2rKFkLGvcoj22bPV1nBpBIKIany&xkcb=SoDM67M34ZLDv1wHyB0DbzkdCdPP&fccid=353eb997fc901045&vjs=3,I
Senior Software Engineer - Infrastructure,Veeva Systems,190000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=c2398af050744e35&bb=zUzYLnKNWWG1L_OG8yoqCZ-J3qJf0GLUPTyf-PbrfqPaFrIpjratzXHrnZqEmcJgYvyUXZw3nv6nK2_gHzbxiWG22W4cEGxBDdiwMxbnZgWmxYjRCQjHMA6qCunSGbYW&xkcb=SoAR67M34ZLBcu2TSR0CbzkdCdPP&fccid=353eb997fc901045&vjs=3,I
"Staff Software Engineer (Backend, Platform)",WHOOP,189500.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-backend-platform-whoop-JV_IC1154532_KO0,40_KE41,46.htm?jl=1009457456112",G
Manager - Kinematics Software Engineering - Surgical Robotics,Medtronic,188000.0,"Boston, MA","https://www.glassdoor.com/job-listing/manager-kinematics-software-engineering-surgical-robotics-medtronic-JV_IC1154532_KO0,57_KE58,67.htm?jl=1009382147789",G
Software Engineering Manager-Platform - Surgical Robotics,Medtronic,188000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-platform-surgical-robotics-medtronic-JV_IC1154532_KO0,55_KE56,65.htm?jl=1009529370461",G
Manager - Kinematics Software Engineering - Surgical Robotics,Medtronic,188000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=7c2dba14c6c4f736&bb=Q9WXnNQJa5OEqUHuaEhyhYyd_sMNF_5WhEuMIuD6ugP9mdR2wyW-VIriUbO0hYt_VYye2Tdk7-r-nhiPpRZykjQiAv-VmEkWeCYftBo9nwWFnrSuCGHhrw%3D%3D&xkcb=SoCO67M34ZLcL7y4SZ0PbzkdCdPP&fccid=f06a4d05bf5510ec&vjs=3,I
Software Engineering Manager-Platform - Surgical Robotics,Medtronic,188000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=9325f4e490cb604a&bb=JwBvgigXehBGeuz3-rTge_rVNGLvDdpvE1gC7p2R9gScFos7I2Sxh_4LhiS2-4dO9MQXO6BFtrVYOUCWohxaHCpEiKNSUyEjK8Mxluoub6qGoHqbFYwpZw%3D%3D&xkcb=SoC867M34ZLeW6QH2h0AbzkdCdPP&fccid=f06a4d05bf5510ec&vjs=3,I
Senior Backend Software Engineer,S&P Global,187500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-backend-software-engineer-sp-global-JV_IC1154545_KO0,32_KE33,42.htm?jl=1009469533492",G
Senior Backend Software Engineer,S&P Global,187500.0,"Cambridge, MA 02138",https://www.indeed.com/rc/clk?jk=e7f0e5e5abf9d632&bb=JMCbaj41Dxm1Td3ZeqXj2HOfbMG7isu-2Kacu3EjdYhqTrqUQH-3sLWEaqOn2os6zW9h-6LIcAW3vkv7NyGljbIGYBHmbP_XK3QHy-qWWhVTz1L4YJ_Gm9GsCQQvGomf&xkcb=SoAQ67M34ZLEU-2TVZ0EbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3,I
"Principal Software Engineer II, Data Engineering",Cambridge Mobile Telematics,185500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-ii-data-engineering-cambridge-mobile-telematics-JV_IC1154545_KO0,47_KE48,75.htm?jl=1009570616824",G
Lead React Native Engineer,Motion Recruitment,185000.0,"Boston, MA","https://www.glassdoor.com/job-listing/lead-react-native-engineer-motion-recruitment-JV_IC1154532_KO0,26_KE27,45.htm?jl=1009567998031",G
Software Engineering Manager,Oneiro,183500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-oneiro-JV_IC1154532_KO0,28_KE29,35.htm?jl=1007158863585",G
Software Engineer - Mission Autonomy,Anduril Industries,183000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-mission-autonomy-anduril-industries-JV_IC1154532_KO0,34_KE35,53.htm?jl=1009551656925",G
Sr Software Engineer - DCT Team,SimpliSafe,183000.0,"Boston, MA","https://www.glassdoor.com/job-listing/sr-software-engineer-dct-team-simplisafe-JV_IC1154532_KO0,29_KE30,40.htm?jl=1009497048362",G
